"LeafDensity";"WoodDensity"
"Acanthaceae";0.230337748348176;0.670709444444444
"Achariaceae";0.362247246781794;0.605300253666667
"Acoraceae";0.1;NA
"Actinidiaceae";0.386468598882793;0.3985405
"Adoxaceae";0.401070086060793;0.446333333333333
"Aizoaceae";0.05526858395225;NA
"Alismataceae";0.177031137440517;NA
"Altingiaceae";0.68339710407;0.591469361111111
"Amaranthaceae";0.205490076363333;0.48
"Amaryllidaceae";0.117819274986174;NA
"Anacampserotaceae";0.025004750903;NA
"Anacardiaceae";0.421492263426449;0.557776448624658
"Annonaceae";0.36425281569561;0.564466661007435
"Aphloiaceae";0.462706016205;0.62052
"Apiaceae";0.306752589896887;NA
"Apocynaceae";0.300687440254529;0.566873775177866
"Aptandraceae";0.31807450711;NA
"Aquifoliaceae";0.371980969098338;0.558455234375
"Araceae";0.171512653980218;NA
"Araliaceae";0.303523132038343;0.428999615407407
"Araucariaceae";0.344790179429253;0.444405498216216
"Arecaceae";0.410268916939535;0.5567344712
"Aristolochiaceae";0.268143429804311;NA
"Asparagaceae";0.201661231373758;NA
"Asphodelaceae";0.444729810232046;NA
"Aspleniaceae";0.358641265759585;NA
"Asteraceae";0.241987577153163;0.641576462864865
"Atherospermataceae";0.240087232592582;0.499575917647059
"Athyriaceae";0.302049083630954;NA
"Austrobaileyaceae";0.262099166286689;NA
"Balsaminaceae";0.401600553364344;NA
"Begoniaceae";0.109399285736596;NA
"Berberidaceae";0.396925116858151;0.6409
"Betulaceae";0.479053564932461;0.510230416666667
"Bignoniaceae";0.352730684580499;0.619352628214634
"Bixaceae";0.44;0.294421
"Blechnaceae";0.0868815120909331;NA
"Bonnetiaceae";0.279782888478541;0.84
"Boraginaceae";0.197647113233771;0.536271978147541
"Brassicaceae";0.286163117728745;0.616983958333333
"Bromeliaceae";0.179118651828916;NA
"Burseraceae";0.41971550038891;0.522384986539801
"Buxaceae";0.270629449230875;0.722006666666667
"Cactaceae";0.132204508035588;0.54
"Calophyllaceae";0.390531298419516;NA
"Calycanthaceae";0.394430248207291;0.650055
"Calyceraceae";0.168936648604503;NA
"Campanulaceae";0.225684922039809;NA
"Cannabaceae";0.319309877953824;0.536687724023529
"Capparaceae";0.376112980033675;NA
"Caprifoliaceae";0.294565236076277;0.63112
"Caricaceae";0.252020608479982;0.22625
"Caryocaraceae";0.460855821559643;0.69693519325
"Caryophyllaceae";0.231607927899328;NA
"Casuarinaceae";0.695443836640803;0.811300853022727
"Celastraceae";0.393857756141324;0.660834572833333
"Cercidiphyllaceae";0.289693055612631;0.428055
"Chloranthaceae";0.18696595504;0.45
"Chrysobalanaceae";0.39838252909223;0.780701479726027
"Cistaceae";0.303962049227477;NA
"Clethraceae";0.419018150358187;0.530333333333333
"Clusiaceae";0.342444993260319;0.654449911507937
"Cochlospermaceae";0.353168001473052;NA
"Comandraceae";0.263005872027793;NA
"Combretaceae";0.345742285406809;0.600148503276423
"Commelinaceae";0.174942710253932;NA
"Connaraceae";0.414061367229198;0.5
"Convolvulaceae";0.258909195258958;0.79160471175
"Cornaceae";0.386175742679435;0.565100568181818
"Corynocarpaceae";0.24987506247;0.632726666666667
"Coulaceae";0.452936760185957;NA
"Crassulaceae";0.0587753227822212;NA
"Cucurbitaceae";0.251720421222978;NA
"Cunoniaceae";0.395803807719421;0.572360296705128
"Cupressaceae";0.338761378757205;0.432541406666667
"Cyatheaceae";0.145602476486536;NA
"Cycadaceae";0.657916666666667;NA
"Cyperaceae";0.387385911400737;NA
"Cystopteridaceae";0.25323928865374;NA
"Dennstaedtiaceae";0.402387529345793;NA
"Dichapetalaceae";0.338946309949322;0.6803
"Dicksoniaceae";0.46975490845;NA
"Dilleniaceae";0.343559978685591;0.613394468421053
"Dioscoreaceae";0.20030085729165;NA
"Dipentodontaceae";0.296512404896;NA
"Dipterocarpaceae";0.477705414924496;0.621658934210526
"Droseraceae";0.13426725883;NA
"Dryopteridaceae";0.317668091540462;NA
"Ebenaceae";0.423781170591902;0.697848366348718
"Ehretiaceae";0.31782102055152;NA
"Elaeagnaceae";0.312104566335;0.481693
"Elaeocarpaceae";0.413285439617779;0.548506369028986
"Equisetaceae";0.394277645775;NA
"Ericaceae";0.408880397212378;0.618979090909091
"Erythropalaceae";0.405594014868696;NA
"Erythroxylaceae";0.328828873206487;0.720430171925926
"Escalloniaceae";0.219240158410365;0.556132
"Euphorbiaceae";0.33526064172909;0.508016144854251
"Eupomatiaceae";0.244570875457665;0.5779
"Fabaceae";0.382899053686692;0.678134478798537
"Fagaceae";0.458529339640132;0.648822272727273
"Fouquieriaceae";0.245371777186667;NA
"Garryaceae";0.393736814211064;NA
"Gentianaceae";0.27702474457421;0.692599437518518
"Geraniaceae";0.331560635631308;NA
"Gesneriaceae";0.0460144735198858;NA
"Ginkgoaceae";0.2284168087624;0.454526
"Gleicheniaceae";0.49165596919;NA
"Goodeniaceae";0.205109031489946;NA
"Goupiaceae";0.4660717128688;0.7272025
"Grossulariaceae";0.3485915493;0.73
"Haloragaceae";0.13124461897;NA
"Hamamelidaceae";0.49272026857255;0.623459473684211
"Hemidictyaceae";0.015035618184;NA
"Hernandiaceae";0.415259805692468;0.284334433133333
"Humiriaceae";0.489160481017582;0.771499702181818
"Hydrangeaceae";0.169082507048186;NA
"Hydrocharitaceae";0.400497872201232;NA
"Hydrophyllaceae";0.297506017207116;NA
"Hymenophyllaceae";0.378823787388571;NA
"Hypericaceae";0.294123453762732;0.985
"Hypoxidaceae";0.129917105776427;NA
"Icacinaceae";0.392758846437944;0.576975786857143
"Iridaceae";0.349300480911117;NA
"Ixerbaceae";0.43066322136;NA
"Ixonanthaceae";0.3649649327175;0.655342083333333
"Juglandaceae";0.485134538897616;0.492971076923077
"Juncaceae";0.200042816327188;NA
"Lacistemataceae";0.232693963943078;0.509353925666667
"Lamiaceae";0.287858900865757;0.5389845988125
"Lauraceae";0.419595566118224;0.558533534687084
"Lecythidaceae";0.425545278723067;0.696320975465649
"Lentibulariaceae";0.054636855532;NA
"Liliaceae";0.1;NA
"Linaceae";0.424801375256315;0.84775
"Loasaceae";0.27;NA
"Loganiaceae";0.401121884868376;0.609132642857143
"Loranthaceae";0.399137457558415;NA
"Lycopodiaceae";0.48024337155;NA
"Lygodiaceae";0.50660066007;NA
"Lythraceae";0.400556942500451;0.584624297619048
"Magnoliaceae";0.340816307248412;0.481284855072464
"Malpighiaceae";0.299587320977018;0.644043846153846
"Malvaceae";0.3150148613898;0.47608973076178
"Marattiaceae";0.0280304586748867;NA
"Marcgraviaceae";0.169811320752358;NA
"Melanthiaceae";0.181179316275048;NA
"Melastomataceae";0.309375048586121;0.67321100962
"Meliaceae";0.360237935508094;0.555136808589091
"Melianthaceae";0.294216770425459;0.6183415
"Menispermaceae";0.354307523239471;0.545
"Menyanthaceae";0.122448656179786;NA
"Molluginaceae";0.14;NA
"Monimiaceae";0.272702797705774;0.588501274947368
"Montiaceae";0.0714578823333333;NA
"Moraceae";0.334997702936827;0.541326177540293
"Muntingiaceae";0.337655321447866;0.3
"Myricaceae";0.388590552045769;0.5829805
"Myristicaceae";0.383618747655907;0.50531078331203
"Myrtaceae";0.370973774388782;0.767427661491909
"Nephrolepidaceae";0.04265347912;NA
"Nothofagaceae";0.444027964418809;0.603284812333333
"Nyctaginaceae";0.237950959628359;0.51772215264
"Nyssaceae";0.492519414963448;NA
"Ochnaceae";0.47023549474031;0.777207955465753
"Olacaceae";0.317826227652632;0.756506707621053
"Oleaceae";0.41897364029524;0.681148940047619
"Onagraceae";0.328806404609696;0.696
"Onocleaceae";0.26637069922;NA
"Ophioglossaceae";0.202579651881512;NA
"Opiliaceae";0.3161128717225;0.73525
"Orchidaceae";0.188146172171325;NA
"Orobanchaceae";0.246424208641879;NA
"Osmundaceae";0.26794871795;NA
"Oxalidaceae";0.264317115705222;0.5603605
"Paeoniaceae";0.285198173924124;NA
"Papaveraceae";0.399538066714858;NA
"Paracryphiaceae";0.46860356139;NA
"Passifloraceae";0.225614056778132;0.675
"Pentaphylacaceae";0.359381125513741;0.55811325
"Penthoraceae";0.194211017740215;NA
"Peraceae";0.391438407251282;NA
"Phrymaceae";0.109800796812625;0.62
"Phyllanthaceae";0.297860120948594;0.610172519773256
"Phyllocladaceae";0.5787037037;0.556380511166667
"Phytolaccaceae";0.287748438503618;0.4885
"Picramniaceae";0.430021220657433;NA
"Picrodendraceae";0.85663377193;0.584606666666667
"Pinaceae";0.326180847539863;0.427684535042735
"Piperaceae";0.2279300886388;0.3935
"Pittosporaceae";0.334553543959354;0.625974345214286
"Plantaginaceae";0.266083594237151;NA
"Platanaceae";0.51253868965;0.503005625
"Plumbaginaceae";0.201950896914459;NA
"Poaceae";0.442644743687711;NA
"Podocarpaceae";0.50482035806;0.489558055555556
"Polemoniaceae";0.298262336258092;NA
"Polygalaceae";0.248783270657077;0.704273904761905
"Polygonaceae";0.303542765571071;0.603531951219512
"Polypodiaceae";0.329661392876616;NA
"Pontederiaceae";0.15;NA
