"WoodDensity";"LeafDensity";"WoodC";"Ptlp";"LeafPI0";"LeafEPS";"LeafAF";"Gswmin";"Gswmax";"Nleaf";"Nsapwood";"Nfineroot";"Kmax_stemxylem";"VCstem_P50";"Al2As";"conduit2sapwood"
"Acanthaceae";0.623472929823238;0.297276154788838;0.410825;-2.74;-3.395;23.23;0.127;NA;0.06;25.8367693376975;NA;7.80507442857143;0.753913880783019;-5.21;1620.94195158886;0.63
"Achariaceae";0.610015994536585;0.362247246781794;NA;-2.42;NA;NA;NA;NA;NA;21.9454553618979;NA;NA;NA;-3.15;8300;NA
"Achatocarpaceae";0.87;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Acoraceae";0.215068711;0.1;NA;NA;NA;NA;NA;NA;NA;18;NA;NA;NA;NA;NA;NA
"Actinidiaceae";0.371451149616438;0.451426862292048;NA;-0.789753648990501;NA;NA;NA;NA;NA;21.635985966199;NA;24.905621;1.9203799395;-1.15;7057.316;NA
"Aextoxicaceae";0.566666666666667;NA;NA;NA;NA;NA;NA;NA;NA;10.1217391304348;NA;NA;0.38;NA;66666.66667;NA
"Aizoaceae";0.130978;0.0824124937245;NA;NA;NA;NA;NA;NA;NA;14.8;NA;NA;NA;NA;NA;NA
"Akaniaceae";0.571336846846847;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alismataceae";0.100379161;0.177031137440517;NA;NA;NA;NA;NA;NA;NA;31.38870875;NA;35.98575;NA;NA;NA;NA
"Alstroemeriaceae";NA;NA;NA;NA;NA;NA;NA;NA;NA;18.1266666666667;NA;NA;NA;NA;NA;NA
"Altingiaceae";0.531515006097319;0.68339710407;0.4435;-1.24879621022099;NA;NA;NA;0.003100900144;0.539396333333333;16.4905581577116;NA;10.7231182846;1.715415;-3.08345514950166;6700.0869214485;0.8015
"Alzateaceae";0.66180271376;NA;NA;NA;NA;NA;NA;NA;NA;9.80299722222222;NA;NA;3.21686289833333;NA;NA;NA
"Amaranthaceae";0.681543365148378;0.171282177625869;0.419931741952896;-1.545;-1.26795756547368;15.4765472602844;0.693;0.01137805321;0.927105263157895;25.9400239436823;NA;10.9711501483793;0.173515308641975;-2.50641509433962;973;NA
"Amaryllidaceae";0.124387514578947;0.127499697861061;0.45084;NA;NA;NA;NA;0.00228413328090909;NA;27.68047016366;NA;11.1883333333333;NA;NA;NA;NA
"Amborellaceae";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.437;-2.99851485148515;4260;NA
"Anacardiaceae";0.531346291650894;0.51158932321443;0.458058823529412;-2.80133676177387;-2.44282972242187;12.76;NA;0.00369818572833578;0.0695679455312661;18.8536208914671;NA;16.85930291035;4.25741795414335;-4.5493003692;22515.7911296483;0.71053
"Anemiaceae";NA;0.4485;NA;-1.645;-1.37;20.04;0.255;NA;NA;21.44;NA;NA;NA;NA;NA;NA
"Anisophylleaceae";0.574683123840909;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Annonaceae";0.553836254349831;0.410999485763923;0.468333333333333;-1.94333333333333;-2.525;34.215;NA;0.0053616476253302;0.194;23.5014446807689;NA;20.2824331864286;5.14281129846032;-1.8571896742;5488.10030148837;0.560375
"Aphloiaceae";0.62052;0.462706016205;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Apiaceae";0.560641110764207;0.231713675135799;0.438255773809524;-1.504;-1.104;23.41;0.838;0.00808621404154546;NA;26.3739052782395;NA;10.5996662947779;0.52;-5.7;2174.4;NA
"Apocynaceae";0.541593872878801;0.328350591015964;0.492828571428571;-0.78;-0.6;14.97;0.793;0.00303;1.4909375;21.0793020461193;NA;13.7570412277636;10.4734826735653;-1.72824662633333;4389.3289944151;0.71125
"Aquifoliaceae";0.581193976584992;0.436100507628844;0.44;-1.91442021043109;-2.3;20.7;0.4;0.00277156219636364;0.049257;14.6369190596814;NA;10.155075;0.793728843253271;-3.66798510983369;9508.14328159759;0.65285
"Araceae";0.063725;0.178498345371397;NA;NA;NA;NA;NA;0.004244509857;NA;19.2454948490621;NA;NA;NA;NA;NA;NA
"Araliaceae";0.41671463853101;0.316811653354767;0.451714285714286;-1.54076711111111;-0.767303771170018;12.3947459466045;0.873;0.0023960466002963;1.3395;18.0901273659915;NA;16.4517350526316;1.36339554635963;-2.84473655211191;4828.27123373912;0.7785
"Araucariaceae";0.422184798507126;0.38589001631175;NA;NA;NA;NA;NA;0.00187858;NA;17.4283784747742;NA;13;0.000310636842105263;-2.68754687853761;3865.52043189369;0.9375
"Arecaceae";0.552042292044424;0.425686426843252;0.4556;-3.81;-3.4;73.4;0.2;0.000858350115833333;NA;19.2318861952029;NA;12.267624883;7.78;-1.81;5821.80500748141;NA
"Aristolochiaceae";0.28046343;0.268143429804311;NA;NA;NA;NA;NA;0.0035895555555;NA;31.7708060606061;NA;NA;NA;NA;NA;NA
"Asparagaceae";0.654967051548189;0.187614427435338;0.4631;NA;-1.79220055611765;22.8103560927647;NA;0.001097716093;NA;24.7868115740655;NA;12.888227235;0.00345;-2.108;NA;NA
"Asphodelaceae";0.41942475;0.557218442932729;NA;NA;-1.37947525722222;7.42562201872222;NA;0.0055481213435;NA;13.6231111111111;NA;NA;NA;NA;NA;NA
"Aspleniaceae";0.3;0.341595127968775;NA;-1.35911764705882;-1.24;35.3;NA;0.00158315530818182;0.1295;25.5515824365753;NA;11.1776396364375;NA;NA;NA;NA
"Asteliaceae";NA;NA;NA;NA;NA;NA;NA;NA;NA;7.205741182;NA;8.305;NA;NA;NA;NA
"Asteraceae";0.522368247192252;0.224871384712318;0.429150913758582;-1.59679101677956;-1.41197004041697;9.58685625976986;0.515333333333333;0.0113591271453849;0.321619177218447;22.6670366179751;NA;12.814810250969;0.592399550575022;-3.03685245901639;2248.51406705761;0.709885714285714
"Asteropeiaceae";0.81717120575;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Atherospermataceae";0.539175423560354;0.240087232592582;NA;-1.76;-1.34;8.38;NA;NA;0.554583333333333;15.3923333333333;NA;23.2;0.550800664451827;-3.31;3320.14309210725;0.756
"Athyriaceae";NA;0.13005;NA;NA;NA;NA;NA;NA;NA;28.1014442858;NA;NA;NA;NA;NA;NA
"Aulacomniaceae";NA;NA;NA;NA;NA;NA;NA;NA;NA;8;NA;NA;NA;NA;NA;NA
"Austrobaileyaceae";0.36334;0.262099166286689;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0.499;NA;NA
"Balanopaceae";0.682700785321101;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Balsaminaceae";0.161073194833333;0.389664524124134;NA;NA;NA;NA;NA;0.0126573015875;NA;38.1958710680653;NA;17.3284122185714;NA;NA;NA;NA
"Basellaceae";0.2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Begoniaceae";0.050564707;0.162678939213089;NA;NA;NA;NA;NA;NA;NA;28.27782699;NA;NA;NA;NA;NA;NA
"Berberidaceae";0.676738619789474;0.396925116858151;NA;-1.82333333333333;-1.71;NA;NA;0.00165;NA;21.5107116881857;NA;20.2520508522222;0.14;-4.51300970873786;2200.53582083881;NA
"Berberidopsidaceae";0.33;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Betulaceae";0.557307712996151;0.495280262045762;0.475005882352941;-1.9169583275718;-1.50153886725286;3.306;NA;0.00272602022664186;0.130514095698514;24.8892955031333;12.534;12.8434581693699;2.25639041868939;-2.60378217821782;5727.73713766996;0.8305
"Bignoniaceae";0.521357288626593;0.359583536251419;0.469296194766667;-1.8134743125;-1.99;17.61;0.177;0.00369193538868552;0.17275;25.851301145283;12.9641115813128;19.4202458262661;2.24978840357476;-1.83618895723684;3932.12;0.635803157894737
"Bixaceae";0.40709211300519;0.486833602997351;NA;-1.45;NA;NA;NA;0.00276;0.44;19.0323670292447;NA;NA;7.75;-1.44161632090909;1757.46924428823;0.707
"Blechnaceae";0.3706;0.314799288559164;NA;-1.34;NA;NA;NA;NA;NA;11.7453879027819;NA;9.35330388833333;12.15;NA;NA;NA
"Bonnetiaceae";0.7838172158;0.279782888478541;NA;NA;NA;NA;NA;NA;NA;10.80879;NA;NA;NA;NA;NA;NA
"Boraginaceae";0.479325886032119;0.375980645824697;0.453633333333333;-1.63333333333333;-1.21772727272727;12.12875;NA;0.00601347442666667;0.18;25.5678420127444;NA;17.4216659306842;5.79852970867466;-3.26012857142857;9427.64483428013;0.6426
"Brassicaceae";0.466207795811213;0.244715973643723;0.424483760312042;-1.87;-1.48;NA;NA;0.0119382443454545;NA;38.5863428676751;NA;18.4957327209156;0.0161749336666667;-3.154375;NA;NA
"Bromeliaceae";0.2232105375;0.177552385812788;NA;NA;NA;NA;NA;NA;NA;9.75007322533333;NA;NA;NA;NA;NA;NA
"Brunelliaceae";0.439458050957447;NA;NA;NA;NA;NA;NA;NA;NA;16.166559478598;NA;NA;1.09776281;NA;NA;NA
"Bruniaceae";0.564366666666667;NA;NA;NA;NA;NA;NA;NA;NA;8.84848484848485;NA;NA;0.370260261333333;-3.04499762376238;NA;NA
"Bryaceae";NA;NA;NA;NA;NA;NA;NA;NA;NA;16.05;NA;NA;NA;NA;NA;NA
"Burseraceae";0.542813943297743;0.449046559407203;0.47033125;-1.81083791553552;-1.435;14.98;NA;0.00416809523809524;NA;18.9341664740216;NA;12.7693749422222;2.59387982938222;-2.37954615431607;12457.0704089487;0.825284810126582
"Butomaceae";0.100832599;NA;NA;NA;NA;NA;NA;NA;NA;42.6;NA;NA;NA;NA;NA;NA
"Buxaceae";0.731637466882353;0.270629449230875;NA;-2.40590977645447;2.32190138989068;13.741165480704;NA;0.00151584277742501;NA;19.1191078431373;NA;NA;0.139327689125;-8;NA;0.833
"Cabombaceae";NA;NA;NA;NA;NA;NA;NA;NA;NA;19.5;NA;NA;NA;NA;NA;NA
"Cactaceae";0.603;0.1531726373925;NA;NA;NA;8.7;NA;0.00267245920490909;0.149;15.3142665168421;NA;NA;0.97;-2;1479.2899408284;0.3574375
